	Source	Length	Incompatibility Group	Predicted Plasmid/ICE	Phylum
UMGS1549_SRR1761710_bin.1_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_394_length_28317_cov_2.395549	Genome Set	28317	N/A	ICE	Actinobacteria
UMGS1348_ERR1305901_bin.5_NA_NA_NA_NA_NA_NODE_537_length_74508_cov_6.213249	Genome Set	74508	N/A	ICE	NA
13414_6_53_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_.13414_6_53.15	Genome Set	62018	N/A	ICE	Firmicutes
20298_3_39_Firmicutes_Clostridia_Clostridiales_NA_NA_.20298_3_39.12	Genome Set	122533	N/A	ICE	Firmicutes
UMGS947_SRR1196456_bin.17_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_486_length_25864_cov_24.402495	Genome Set	25864	N/A	N/A	Firmicutes
UMGS881_SRR4033077_bin.13_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Pseudobutyrivibrio_NODE_5599_length_3069_cov_15.672860	Genome Set	3069	N/A	N/A	Firmicutes
14207_7_37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.14207_7_37.3	Genome Set	187044	N/A	ICE	Firmicutes
UMGS790_SRR5279243_bin.1_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_137_length_85367_cov_6.370159	Genome Set	85367	N/A	ICE	Actinobacteria
UMGS761_SRR5056797_bin.113_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_1835_length_24185_cov_8.286656	Genome Set	24185	N/A	ICE	Firmicutes
UMGS789_SRR5057091_bin.53_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_77_length_95154_cov_8.227710	Genome Set	95154	N/A	N/A	Actinobacteria
NC_010371.1_Finegoldia_magna_ATCC_29328_plasmid_pFMC_DNA__complete_sequence	Genome Set	189163	rep_cluster_1411	Plasmid	Firmicutes
NZ_JH379347.1_Prevotella_stercorea_DSM_18206_genomic_scaffold_Scfld24__whole_genome_shotgun_sequence	Genome Set	5911	N/A	ICE	Bacteroidetes
20298_3_35_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.20298_3_35.1	Genome Set	385819	N/A	ICE	Firmicutes
14207_7_59_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_59.4	Genome Set	213351	N/A	ICE	Firmicutes
UMGS1711_SRR5558284_bin.37_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_656_length_45764_cov_10.940749	Genome Set	45764	N/A	N/A	Firmicutes
UMGS1829_ERR209478_bin.33_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_1371_length_13317_cov_2.051124	Genome Set	13317	N/A	ICE	Bacteroidetes
UMGS503_SRR1196634_bin.19_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_NODE_187_length_33267_cov_8.88155	Genome Set	33267	N/A	N/A	Tenericutes
20287_6_63_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_63.2	Genome Set	615097	N/A	ICE	Firmicutes
13414_6_68_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13414_6_68.9	Genome Set	158658	N/A	ICE	Firmicutes
20287_6_37_Firmicutes_Clostridia_Clostridiales_NA_NA_.20287_6_37.32	Genome Set	33449	N/A	N/A	Firmicutes
UMGS1730_SRR5275432_bin.16_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_672_length_19595_cov_8.634596	Genome Set	19595	N/A	ICE	Firmicutes
UMGS1423_ERR1018270_bin.44_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_250_length_56511_cov_5.893475	Genome Set	56511	N/A	N/A	Firmicutes
UMGS658_SRR2155387_bin.7_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_36_length_155406_cov_18.4847	Genome Set	155406	N/A	ICE	Firmicutes
18048_2_82_Firmicutes_Clostridia_Clostridiales_NA_NA_.18048_2_82.14	Genome Set	73373	N/A	ICE	Firmicutes
NZ_LN913013.1_Gabonibacter_massiliensis_strain_GM7__whole_genome_shotgun_sequence	Genome Set	2324047	N/A	ICE	Bacteroidetes
13470_2_93_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13470_2_93.37	Genome Set	12214	N/A	ICE	Firmicutes
NZ_AAVN02000004.1_Collinsella_aerofaciens_ATCC_25986_C_aerofaciens-2.0_Cont973__whole_genome_shotgun_sequence	Genome Set	184100	N/A	ICE	Actinobacteria
18048_1_70_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.18048_1_70.1	Genome Set	602315	N/A	ICE	Firmicutes
13414_6_33_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13414_6_33.1	Genome Set	323356	N/A	ICE	Firmicutes
NZ_HE978647.1_Alistipes_sp._JC50_genomic_scaffold__scaffold00001__whole_genome_shotgun_sequence	Genome Set	2238564	N/A	ICE	Bacteroidetes
21673_4_12_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.21673_4_12.36	Genome Set	8535	N/A	ICE	Firmicutes
UMGS664_ERR209886_bin.11_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_90_length_68815_cov_4.744939	Genome Set	68815	N/A	ICE	Firmicutes
NZ_KI271165.1_Eubacterium_ramulus_ATCC_29099_genomic_scaffold_Scaffold588__whole_genome_shotgun_sequence	Genome Set	1041	N/A	N/A	Firmicutes
20287_6_63_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_63.3	Genome Set	307381	N/A	ICE	Firmicutes
UMGS1389_ERR1620298_bin.4_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_3_length_440201_cov_21.639940	Genome Set	440201	N/A	ICE	Firmicutes
20298_2_28_Firmicutes_Clostridia_Clostridiales_NA_NA_.20298_2_28.12	Genome Set	79901	N/A	ICE	Firmicutes
20427_4_25_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_.20427_4_25.126	Genome Set	919	N/A	N/A	Firmicutes
20298_2_23_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20298_2_23.9	Genome Set	144167	N/A	ICE	Bacteroidetes
UMGS1126_ERR414269_bin.20_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_1650_length_13432_cov_4.830829	Genome Set	13432	N/A	ICE	Bacteroidetes
UMGS537_ERR1297716_bin.14_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_7_length_192507_cov_11.219951	Genome Set	192507	N/A	N/A	Firmicutes
14207_7_56_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_56.33	Genome Set	16068	N/A	N/A	Firmicutes
UMGS1684_ERR011192_bin.15_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_2914_length_2016_cov_29.3121	Genome Set	2016	N/A	ICE	Bacteroidetes
14207_7_23_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.14207_7_23.44	Genome Set	34696	N/A	ICE	Bacteroidetes
NZ_ADDR02000001.1_Desulfovibrio_sp._3_1_syn3_acqcX-supercont2.1__whole_genome_shotgun_sequence	Genome Set	2716392	N/A	ICE	Proteobacteria
NZ_HE998567.1_Holdemania_sp._AP2_genomic_scaffold__scaffold00001__whole_genome_shotgun_sequence	Genome Set	1685089	N/A	ICE	Tenericutes
UMGS945_ERR1620269_bin.39_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_647_length_25002_cov_8.417565	Genome Set	25002	N/A	ICE	Firmicutes
NZ_GL629647.1_Prevotella_salivae_DSM_15606_genomic_scaffold_SCAFFOLD1__whole_genome_shotgun_sequence	Genome Set	3180194	N/A	ICE	Bacteroidetes
12718_7_47_Firmicutes_Clostridia_Clostridiales_NA_NA_.12718_7_47.4	Genome Set	460715	N/A	ICE	Firmicutes
UMGS1084_SRR4305433_bin.6_NA_NA_NA_NA_NA_NODE_136_length_49193_cov_12.121474	Genome Set	49193	N/A	ICE	NA
11861_6_65_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.11861_6_65.42	Genome Set	4391	N/A	ICE	Firmicutes
UMGS1989_ERR1190931_bin.4_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_2831_length_11539_cov_3.258969	Genome Set	11539	N/A	N/A	Firmicutes
UMGS1410_ERR209454_bin.40_Tenericutes_NA_NA_NA_NA_NODE_313_length_39339_cov_7.704943	Genome Set	39339	N/A	N/A	Tenericutes
UMGS1288_SRR341667_bin.16_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_3700_length_5931_cov_5.861300	Genome Set	5931	N/A	ICE	Firmicutes
UMGS305_SRR3582148_bin.9_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_34_length_123690_cov_10.649816	Genome Set	123690	N/A	ICE	Actinobacteria
UMGS119_ERR1620292_bin.17_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_NODE_266_length_52114_cov_21.576788	Genome Set	52114	N/A	ICE	Firmicutes
NZ_KQ236096.1_Parabacteroides_sp._2_1_7_genomic_scaffold_supercont2.5__whole_genome_shotgun_sequence	Genome Set	3038395	N/A	ICE	Bacteroidetes
UMGS1003_ERR525813_bin.62_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_173_length_76734_cov_25.182618	Genome Set	76734	N/A	N/A	Bacteroidetes
NZ_KB905489.1_Bacteroides_sp._HPS0048_genomic_scaffold_acKdP-supercont1.3__whole_genome_shotgun_sequence	Genome Set	868688	N/A	ICE	Bacteroidetes
UMGS2065_SRR2992944_bin.2_Tenericutes_NA_NA_NA_NA_NODE_75_length_13360_cov_5.17926	Genome Set	13360	N/A	N/A	Tenericutes
UMGS57_SRR2155361_bin.23_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_434_length_25917_cov_11.868340	Genome Set	25917	N/A	ICE	Firmicutes
20298_3_57_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_NA_.20298_3_57.5	Genome Set	369249	N/A	ICE	Actinobacteria
UMGS800_ERR1293918_bin.21_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_10_length_171207_cov_21.154909	Genome Set	171207	N/A	ICE	Bacteroidetes
13414_6_67_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13414_6_67.53	Genome Set	886	N/A	N/A	Firmicutes
NZ_FCEY01000007.1_Clostridium_sp._AT5_genome_assembly__contig_contig00007__whole_genome_shotgun_sequence	Genome Set	326237	rep_cluster_475	ICE	Firmicutes
20298_2_28_Firmicutes_Clostridia_Clostridiales_NA_NA_.20298_2_28.7	Genome Set	169021	N/A	ICE	Firmicutes
14207_7_42_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.14207_7_42.16	Genome Set	101356	N/A	ICE	Firmicutes
UMGS871_ERR414245_bin.26_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_362_length_50821_cov_6.991451	Genome Set	50821	N/A	ICE	Bacteroidetes
21673_4_87_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.21673_4_87.16	Genome Set	17400	N/A	ICE	Firmicutes
UMGS1767_SRR5275445_bin.35_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_1478_length_12457_cov_15.849299	Genome Set	12457	N/A	N/A	Actinobacteria
20298_3_65_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20298_3_65.2	Genome Set	286851	N/A	ICE	Firmicutes
18048_1_69_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.18048_1_69.31	Genome Set	32366	N/A	ICE	Firmicutes
UMGS1534_ERR1620311_bin.17_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_1_length_646692_cov_6.531094	Genome Set	646692	N/A	ICE	Bacteroidetes
UMGS262_SRR1761683_bin.19_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_273_length_48480_cov_47.324750	Genome Set	48480	N/A	ICE	Firmicutes
NZ_DS981457.1_Bacteroides_coprocola_DSM_17136_Scfld_02_30_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	281116	N/A	ICE	Bacteroidetes
UMGS218_SRR5580022_bin.2_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_185_length_28168_cov_6.164679	Genome Set	28168	N/A	ICE	Bacteroidetes
UMGS611_SRR5056929_bin.85_Tenericutes_NA_NA_NA_NA_NODE_2_length_372294_cov_10.401685	Genome Set	372294	N/A	N/A	Tenericutes
UMGS1677_ERR1190831_bin.20_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_805_length_35021_cov_8.194274	Genome Set	35021	N/A	N/A	Firmicutes
8080_1_93_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_ERS138191.8080_1_93.13	Genome Set	87685	N/A	ICE	Firmicutes
UMGS511_DRR042316_bin.21_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_21_length_199171_cov_11.070869	Genome Set	199171	N/A	ICE	Actinobacteria
14207_7_42_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.14207_7_42.48	Genome Set	42764	N/A	ICE	Firmicutes
14207_7_37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.14207_7_37.26	Genome Set	50901	N/A	ICE	Firmicutes
20298_3_35_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.20298_3_35.3	Genome Set	239107	N/A	ICE	Firmicutes
NZ_AKCB01000001.1_Coprobacillus_sp._D6_cont1.1__whole_genome_shotgun_sequence	Genome Set	2786946	N/A	ICE	Tenericutes
13470_2_64_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.13470_2_64.31	Genome Set	48108	N/A	ICE	Bacteroidetes
20298_3_81_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.20298_3_81.4	Genome Set	234766	N/A	ICE	Firmicutes
20298_2_49_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_.20298_2_49.1	Genome Set	665222	N/A	ICE	Firmicutes
UMGS193_DRR042356_bin.29_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_NODE_271_length_68870_cov_7.194129	Genome Set	68870	N/A	ICE	Tenericutes
14207_7_90_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_90.7	Genome Set	151497	N/A	ICE	Firmicutes
20298_2_28_Firmicutes_Clostridia_Clostridiales_NA_NA_.20298_2_28.2	Genome Set	649812	N/A	ICE	Firmicutes
NZ_LN913000.1_Ruminococcus_sp._AT10_genome_assembly_Ruminococcus_phoceensis__scaffold_scaffold00004__whole_genome_shotgun_sequence	Genome Set	710312	N/A	ICE	Firmicutes
UMGS796_ERR1190945_bin.62_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_161_length_91200_cov_9.201591	Genome Set	91200	N/A	ICE	Bacteroidetes
UMGS282_ERR525699_bin.23_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_NODE_778_length_30050_cov_5.195699	Genome Set	30050	N/A	ICE	Bacteroidetes
13414_6_70_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13414_6_70.14	Genome Set	75536	N/A	ICE	Firmicutes
12718_7_47_Firmicutes_Clostridia_Clostridiales_NA_NA_.12718_7_47.10	Genome Set	56767	N/A	ICE	Firmicutes
UMGS1199_SRR3917587_bin.52_Tenericutes_NA_NA_NA_NA_NODE_719_length_25763_cov_6.929983	Genome Set	25763	N/A	N/A	Tenericutes
21673_4_18_Firmicutes_Clostridia_Clostridiales_NA_NA_.21673_4_18.18	Genome Set	57726	N/A	ICE	Firmicutes
13470_2_81_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.13470_2_81.42	Genome Set	31262	N/A	N/A	Firmicutes
NZ_JH992948.1_Bacteroides_oleiciplenus_YIT_12058_genomic_scaffold_supercont1.9__whole_genome_shotgun_sequence	Genome Set	50350	N/A	ICE	Bacteroidetes
20287_6_18_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_18.10	Genome Set	86682	N/A	ICE	Firmicutes
UMGS624_ERR011095_bin.1_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_72_length_38289_cov_9.3033	Genome Set	38289	N/A	ICE	Bacteroidetes
NZ_JH660546.1_Escherichia_sp._4_1_40B_supercont2.8__whole_genome_shotgun_sequence	Genome Set	80575	IncFIB,IncFIIA,IncFII	Plasmid	Proteobacteria
20287_6_9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20287_6_9.4	Genome Set	437212	N/A	ICE	Bacteroidetes
UMGS200_SRR6028624_bin.16_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_637_length_10302_cov_22.484044	Genome Set	10302	N/A	ICE	Firmicutes
NZ_LN866274.1_Clostridium_sp._GD3_genome_assembly_Clostridium_phoceensis__scaffold_scaffold00010__whole_genome_shotgun_sequence	Genome Set	3279315	N/A	ICE	Firmicutes
NZ_DS499701.1_Clostridium_scindens_ATCC_35704_Scfld_02_23_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	173023	N/A	ICE	Firmicutes
UMGS803_SRR5127411_bin.10_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_3273_length_5290_cov_10.564088	Genome Set	5290	N/A	N/A	Firmicutes
UMGS200_SRR6028624_bin.16_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_2234_length_3931_cov_4.394995	Genome Set	3931	N/A	ICE	Firmicutes
UMGS771_SRR5580101_bin.4_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_28_length_154325_cov_6.225773	Genome Set	154325	N/A	ICE	Firmicutes
NZ_DS981478.1_Bacteroides_coprocola_DSM_17136_Scfld_02_51_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	58798	N/A	ICE	Bacteroidetes
UMGS1102_ERR688524_bin.55_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_40_length_147589_cov_7.445890	Genome Set	147589	N/A	ICE	Firmicutes
NZ_KQ236744.1_Dorea_sp._D27_genomic_scaffold_supercont1.2__whole_genome_shotgun_sequence	Genome Set	1018203	N/A	ICE	Firmicutes
UMGS916_SRR1761681_bin.7_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_250_length_36815_cov_17.458950	Genome Set	36815	N/A	ICE	Firmicutes
NZ_DS981485.1_Bacteroides_coprocola_DSM_17136_Scfld_02_58_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	101864	rep_cluster_1702	ICE	Bacteroidetes
13470_2_71_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_NA_.13470_2_71.5	Genome Set	189413	N/A	ICE	Tenericutes
UMGS212_SRR4305192_bin.3_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_5_length_123314_cov_58.346100	Genome Set	123314	N/A	ICE	Bacteroidetes
NZ_KB905488.1_Bacteroides_sp._HPS0048_genomic_scaffold_acKdP-supercont1.2__whole_genome_shotgun_sequence	Genome Set	1254863	N/A	ICE	Bacteroidetes
NZ_HE978577.1_Bacteroidales_bacterium_ph8_genomic_scaffold__scaffold00001__whole_genome_shotgun_sequence	Genome Set	2110561	N/A	ICE	Bacteroidetes
UMGS35_ERR525726_bin.20_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_445_length_24938_cov_17.3165	Genome Set	24938	N/A	ICE	Firmicutes
NZ_KE150450.1_Actinomyces_sp._HPA0247_genomic_scaffold_acAqT-supercont1.1__whole_genome_shotgun_sequence	Genome Set	1289359	N/A	ICE	Actinobacteria
NZ_EQ973223.1_Bacteroides_fragilis_3_1_12_supercont1.11_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	37990	N/A	N/A	Bacteroidetes
UMGS1021_ERR525737_bin.53_Tenericutes_NA_NA_NA_NA_NODE_1_length_582527_cov_34.471163	Genome Set	582527	N/A	ICE	Tenericutes
UMGS230_SRR1761716_bin.48_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_2_length_256835_cov_31.533663	Genome Set	256835	N/A	ICE	Firmicutes
UMGS342_ERR688517_bin.19_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_2214_length_13547_cov_21.286392	Genome Set	13547	N/A	Plasmid	Firmicutes
NZ_HE578907.1_Anaerococcus_sp._JC48_genomic_scaffold__scaffold00001__whole_genome_shotgun_sequence	Genome Set	1367741	N/A	ICE	Firmicutes
13470_2_93_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13470_2_93.24	Genome Set	54726	N/A	ICE	Firmicutes
14207_7_50_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_50.20	Genome Set	28980	N/A	ICE	Firmicutes
UMGS803_SRR5127411_bin.10_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_4450_length_4219_cov_9.790826	Genome Set	4219	N/A	N/A	Firmicutes
NZ_GG730106.1_Bacteroides_sp._D20_genomic_scaffold_supercont1.2__whole_genome_shotgun_sequence	Genome Set	1323254	N/A	ICE	Bacteroidetes
21673_4_87_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.21673_4_87.9	Genome Set	120334	N/A	ICE	Firmicutes
NZ_DS483503.1_Faecalibacterium_prausnitzii_M21_2_Scfld_02_24_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	999620	N/A	ICE	Firmicutes
NZ_EQ973213.1_Bacteroides_fragilis_3_1_12_supercont1.1_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	2558453	N/A	ICE	Bacteroidetes
18048_1_70_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.18048_1_70.16	Genome Set	50829	N/A	ICE	Firmicutes
12718_7_56_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_.12718_7_56.56	Genome Set	7846	N/A	Plasmid	Firmicutes
UMGS1135_ERR209469_bin.1_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_303_length_34553_cov_6.027915	Genome Set	34553	N/A	ICE	Firmicutes
NZ_GL883880.1_Paraprevotella_xylaniphila_YIT_11841_genomic_scaffold_Scfld303__whole_genome_shotgun_sequence	Genome Set	126970	N/A	ICE	Bacteroidetes
UMGS1155_ERR209170_bin.2_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_5886_length_2027_cov_6.618154	Genome Set	2027	N/A	Plasmid	Bacteroidetes
NZ_HG005174.1_Nesterenkonia_massiliensis_strain_NP1__whole_genome_shotgun_sequence	Genome Set	46703	N/A	Plasmid	Actinobacteria
20287_6_88_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_88.2	Genome Set	476531	N/A	ICE	Firmicutes
UMGS1268_ERR525890_bin.1_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerostipes_NODE_238_length_47338_cov_4.46308	Genome Set	47338	N/A	ICE	Firmicutes
NZ_KQ033906.1_Parabacteroides_sp._HGS0025_genomic_scaffold_aczIs-supercont1.5__whole_genome_shotgun_sequence	Genome Set	110595	N/A	ICE	Bacteroidetes
14207_7_87_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_87.18	Genome Set	83858	N/A	ICE	Firmicutes
UMGS1777_SRR5275432_bin.13_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_1472_length_10910_cov_7.355136	Genome Set	10910	N/A	ICE	Firmicutes
20427_4_25_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_.20427_4_25.16	Genome Set	73535	N/A	ICE	Firmicutes
UMGS904_SRR1761720_bin.5_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_NODE_151_length_50023_cov_8.263188	Genome Set	50023	N/A	ICE	Firmicutes
UMGS1165_ERR1913008_bin.26_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_214_length_42534_cov_8.227924	Genome Set	42534	N/A	N/A	Actinobacteria
NZ_GL892007.1_Dysgonomonas_mossii_DSM_22836_genomic_scaffold_supercont1.4__whole_genome_shotgun_sequence	Genome Set	404348	N/A	ICE	Bacteroidetes
UMGS456_ERR209453_bin.40_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_67_length_91624_cov_14.770315	Genome Set	91624	N/A	ICE	Firmicutes
14207_7_9_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospira_.14207_7_9.11	Genome Set	92147	N/A	ICE	Firmicutes
8080_1_69_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_ERS138167.8080_1_69.9	Genome Set	101153	N/A	ICE	Firmicutes
UMGS871_ERR414245_bin.26_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_2712_length_11784_cov_5.409924	Genome Set	11784	N/A	ICE	Bacteroidetes
UMGS607_ERR526073_bin.39_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Flavobacterium_NODE_688_length_24371_cov_3.876789	Genome Set	24371	N/A	ICE	Bacteroidetes
NZ_LT160637.1_Neglecta_timonensis_strain_SN17__whole_genome_shotgun_sequence	Genome Set	227250	N/A	ICE	Firmicutes
UMGS803_SRR5127411_bin.10_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_2076_length_7369_cov_9.923298	Genome Set	7369	N/A	ICE	Firmicutes
14207_7_83_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_.14207_7_83.24	Genome Set	70020	N/A	ICE	Firmicutes
UMGS1710_ERR1293845_bin.21_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_1034_length_9323_cov_3.350129	Genome Set	9323	N/A	N/A	Bacteroidetes
UMGS791_ERR1190658_bin.15_Firmicutes_Negativicutes_Selenomonadales_Acidaminococcaceae_Phascolarctobacterium_NODE_3_length_294712_cov_12.567348	Genome Set	294712	N/A	ICE	Firmicutes
UMGS174_SRR1761690_bin.37_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_72_length_96072_cov_93.906340	Genome Set	96072	N/A	ICE	Firmicutes
21673_4_46_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.21673_4_46.19	Genome Set	71344	N/A	ICE	Bacteroidetes
21673_4_33_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_.21673_4_33.6	Genome Set	285921	N/A	ICE	Bacteroidetes
21673_4_53_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.21673_4_53.3	Genome Set	391546	N/A	ICE	Firmicutes
NZ_EQ973216.1_Bacteroides_fragilis_3_1_12_supercont1.4_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	501393	rep_cluster_663	ICE	Bacteroidetes
